Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,78.800003,80.570000,78.190002,80.570000,53.418415,7864500
2003-01-03,80.699997,81.650002,80.209999,81.650002,54.134457,5962300
2003-01-06,81.900002,84.800003,81.809998,83.589996,55.420681,7921300
2003-01-07,83.949997,86.180000,83.750000,86.000000,57.018513,11906900
2003-01-08,85.550003,85.690002,84.070000,84.190002,55.818470,9508800
2003-01-09,84.750000,87.019997,84.750000,87.000000,57.681515,10711600
2003-01-10,85.849998,88.040001,85.699997,87.680000,58.132359,9955400
2003-01-13,88.309998,88.949997,87.349998,87.510002,58.019661,10499000
2003-01-14,87.230003,88.589996,87.220001,88.580002,58.729061,7569100
2003-01-15,88.580002,88.650002,86.949997,87.589996,58.072712,8146600
2003-01-16,87.400002,87.709999,85.379997,86.050003,57.051674,9904300
2003-01-17,83.739998,83.739998,81.180000,81.300003,53.902397,17331200
2003-01-21,81.300003,81.849998,80.500000,80.540001,53.398506,8926900
2003-01-22,80.000000,80.769997,79.389999,79.699997,52.841579,9432400
2003-01-23,80.150002,81.360001,79.800003,81.050003,53.736656,8371400
2003-01-24,80.599998,81.500000,78.820000,78.989998,52.370846,7748000
2003-01-27,77.989998,79.500000,77.610001,78.419998,51.992935,9307800
2003-01-28,78.500000,80.470001,78.360001,80.110001,53.113426,8017400
2003-01-29,79.500000,80.699997,78.570000,80.320000,53.252651,7755000
2003-01-30,81.300003,81.300003,78.300003,78.300003,51.913383,7349500
2003-01-31,77.699997,78.339996,77.019997,78.199997,51.847095,9744100
2003-02-03,78.199997,78.870003,77.750000,78.180000,51.833809,6683500
2003-02-04,78.180000,78.180000,76.250000,77.089996,51.111122,7216200
2003-02-05,77.849998,78.900002,76.870003,77.260002,51.223843,7427200
2003-02-06,77.110001,78.199997,76.510002,77.510002,51.489552,7755200
2003-02-07,77.970001,78.150002,76.610001,77.099998,51.217213,8296400
2003-02-10,77.099998,78.019997,76.449997,77.910004,51.755283,7949100
2003-02-11,78.300003,78.970001,77.309998,77.389999,51.409859,8598200
2003-02-12,77.500000,78.089996,76.500000,76.500000,50.818634,5609200
2003-02-13,76.099998,76.349998,74.309998,75.860001,50.393478,11218400
2003-02-14,76.400002,77.449997,75.349998,77.449997,51.449726,8299500
2003-02-18,78.019997,79.500000,77.910004,79.330002,52.698597,7791200
2003-02-19,79.080002,79.699997,78.820000,79.510002,52.818169,5440300
2003-02-20,79.570000,80.050003,78.709999,79.150002,52.579018,6285100
2003-02-21,79.489998,80.000000,78.160004,79.949997,53.110451,7453900
2003-02-24,79.699997,79.989998,78.559998,78.559998,52.187092,6874700
2003-02-25,77.900002,79.370003,76.900002,79.070000,52.525883,7675900
2003-02-26,78.449997,79.050003,77.300003,77.400002,51.416500,8587000
2003-02-27,77.900002,78.589996,76.750000,77.279999,51.336765,9926500
2003-02-28,77.000000,78.470001,77.000000,77.949997,51.781868,6585200
2003-03-03,78.900002,79.000000,77.120003,77.330002,51.369987,6618300
